Scan Started at: 13 Jan 2026 11:18:05
>>> Found: Cloud-Compute-IN | Category: Infrastructure | Price: ₹3080
>>> Found: Domain-Registration | Category: Web-Services | Price: ₹826
>>> Found: SMS-Gateway-India | Category: Telecom | Price: ₹919
>>> Found: Payment-API | Category: FinTech | Price: ₹1919
>>> Found: CDN-Mumbai | Category: Networking | Price: ₹4949
Scan Started at: 13 Jan 2026 11:23:06
>>> Found: Cloud-Compute-IN | Category: Infrastructure | Price: ₹4508
>>> Found: Domain-Registration | Category: Web-Services | Price: ₹3624
>>> Found: SMS-Gateway-India | Category: Telecom | Price: ₹3259
>>> Found: Payment-API | Category: FinTech | Price: ₹1470
>>> Found: CDN-Mumbai | Category: Networking | Price: ₹3529
